year_ceremony,Category,name,film
1978,HONORARY AWARD, Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry.,
1978,IRVING G. THALBERG MEMORIAL AWARD,Walter Mirisch,
1979,PRODUCTION DESIGN,"Art Direction:  Paul Sylbert, Edwin O'Donovan;  Set Decoration:  George Gaines",Heaven Can Wait
1979,CINEMATOGRAPHY,Nestor Almendros,Days of Heaven
1979,COSTUME DESIGN,Anthony Powell,Death on the Nile
1979,DIRECTING,Michael Cimino,The Deer Hunter
1979,DOCUMENTARY (Feature),"Arnold Shapiro, Producer",Scared Straight!
1979,DOCUMENTARY (Short Subject),"Jacqueline Phillips Shedd and Ben Shedd, Producers",The Flight of the Gossamer Condor
1979,FILM EDITING,Peter Zinner,The Deer Hunter
1979,FOREIGN LANGUAGE FILM,France,Get Out Your Handkerchiefs
1979,MUSIC (Adaptation Score),Joe Renzetti,The Buddy Holly Story
1979,MUSIC (Original Score),Giorgio Moroder,Midnight Express
1979,MUSIC (Original Song),Music and Lyrics by Paul Jabara,Thank God It's Friday
1979,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter
1979,SHORT FILM (Animated),"Eunice Macaulay and John Weldon, Producers",Special Delivery
1979,SHORT FILM (Live Action),"Taylor Hackford, Producer",Teenage Father
1979,SOUND,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight",The Deer Hunter
1979,WRITING (Adapted Screenplay),Oliver Stone,Midnight Express
1979,WRITING (Screenplay Written Directly for the Screen),"Story by Nancy Dowd;  Screenplay by Waldo Salt, Robert C. Jones",Coming Home
1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic",Superman
1979,JEAN HERSHOLT HUMANITARIAN AWARD,Leo Jaffe,
1979,HONORARY AWARD, Walter Lantz for bringing joy and laughter to every part of the world through his unique animated motion pictures.,
1979,HONORARY AWARD, The Museum of Modern Art Department of Film for the contribution it has made to the public's perception of movies as an art form.,
1979,HONORARY AWARD, Laurence Olivier for the full body of his work,
1979,HONORARY AWARD, King Vidor for his incomparable achievements as a cinematic creator and innovator.,
1980,PRODUCTION DESIGN,"Art Direction:  Philip Rosenberg, Tony Walton;  Set Decoration:  Edward Stewart, Gary Brink",All That Jazz
1980,CINEMATOGRAPHY,Vittorio Storaro,Apocalypse Now
1980,COSTUME DESIGN,Albert Wolsky,All That Jazz
1980,DIRECTING,Robert Benton,Kramer vs. Kramer
1980,DOCUMENTARY (Feature),"Ira Wohl, Producer",Best Boy
1980,DOCUMENTARY (Short Subject),"Saul J. Turell, Producer",Paul Robeson: Tribute to an Artist
1980,FILM EDITING,Alan Heim,All That Jazz
1980,FOREIGN LANGUAGE FILM,Federal Republic of Germany,The Tin Drum
1980,MUSIC (Original Score),Georges Delerue,A Little Romance
1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Adaptation Score by Ralph Burns,All That Jazz
1980,MUSIC (Original Song),Music by David Shire; Lyric by Norman Gimbel,Norma Rae
1980,BEST PICTURE,"Stanley R. Jaffe, Producer",Kramer vs. Kramer
1980,SHORT FILM (Animated),"Derek Lamb, Producer",Every Child
1980,SHORT FILM (Live Action),"Sarah Pillsbury and Ron Ellis, Producers",Board and Care
1980,SOUND,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer",Apocalypse Now
1980,VISUAL EFFECTS,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",Alien
1980,WRITING (Adapted Screenplay),Robert Benton,Kramer vs. Kramer
1980,WRITING (Screenplay Written Directly for the Screen),Steve Tesich,Breaking Away
1980,SPECIAL ACHIEVEMENT AWARD (Sound Editing),Alan Splet,The Black Stallion
1980,JEAN HERSHOLT HUMANITARIAN AWARD,Robert Benjamin,
1980,HONORARY AWARD, Alec Guinness for advancing the art of screen acting through a host of memorable and distinguished performances.,
1980,HONORARY AWARD, Hal Elias for his dedication and distinguished service to the Academy of Motion Picture Arts and Sciences.,
1980,IRVING G. THALBERG MEMORIAL AWARD,Ray Stark,
1981,PRODUCTION DESIGN,"Art Direction:  Pierre Guffroy, Jack Stephens",Tess
1981,CINEMATOGRAPHY,"Geoffrey Unsworth, Ghislain Cloquet",Tess
1981,COSTUME DESIGN,Anthony Powell,Tess
1981,DIRECTING,Robert Redford,Ordinary People
1981,DOCUMENTARY (Feature),"Murray Lerner, Producer",From Mao to Mozart: Isaac Stern in China
1981,DOCUMENTARY (Short Subject),"Roland Hallé and Peter W. Ladue, Producers",Karl Hess: Toward Liberty
1981,FILM EDITING,Thelma Schoonmaker,Raging Bull
1981,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,Moscow Does Not Believe in Tears
1981,MUSIC (Original Score),Michael Gore,Fame
1981,MUSIC (Original Song),Music by Michael Gore; Lyric by Dean Pitchford,Fame
1981,BEST PICTURE,"Ronald L. Schwary, Producer",Ordinary People
1981,SHORT FILM (Animated),"Ferenc Rofusz, Producer",The Fly
1981,SHORT FILM (Dramatic Live Action),"Lloyd Phillips, Producer",The Dollar Bottom
1981,SOUND,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton",The Empire Strikes Back
1981,WRITING (Adapted Screenplay),Alvin Sargent,Ordinary People
1981,WRITING (Screenplay Written Directly for the Screen),Bo Goldman,Melvin and Howard
1981,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson",The Empire Strikes Back
1981,HONORARY AWARD, Henry Fonda,
1982,PRODUCTION DESIGN,"Art Direction:  Norman Reynolds, Leslie Dilley;  Set Decoration:  Michael Ford",Raiders of the Lost Ark
1982,CINEMATOGRAPHY,Vittorio Storaro,Reds
1982,COSTUME DESIGN,Milena Canonero,Chariots of Fire
1982,DIRECTING,Warren Beatty,Reds
1982,DOCUMENTARY (Feature),"Arnold Schwartzman and Rabbi Marvin Hier, Producers",Genocide
1982,DOCUMENTARY (Short Subject),"Nigel Noble, Producer",Close Harmony
1982,FILM EDITING,Michael Kahn,Raiders of the Lost Ark
1982,FOREIGN LANGUAGE FILM,Hungary,Mephisto
1982,MAKEUP,Rick Baker,An American Werewolf in London
1982,MUSIC (Original Score),Vangelis,Chariots of Fire
1982,MUSIC (Original Song),"Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen",Arthur
1982,BEST PICTURE,"David Puttnam, Producer",Chariots of Fire
1982,SHORT FILM (Animated),"Frédéric Back, Producer",Crac
1982,SHORT FILM (Live Action),"Paul Kemp and Shelley Levinson, Producers",Violet
1982,SOUND,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman",Raiders of the Lost Ark
1982,VISUAL EFFECTS,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston",Raiders of the Lost Ark
1982,WRITING (Adapted Screenplay),Ernest Thompson,On Golden Pond
1982,WRITING (Screenplay Written Directly for the Screen),Colin Welland,Chariots of Fire
1982,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),"Ben Burtt, Richard L. Anderson",Raiders of the Lost Ark
1982,JEAN HERSHOLT HUMANITARIAN AWARD,Danny Kaye,
1982,HONORARY AWARD, Barbara Stanwyck for superlative creativity and unique contribution to the art of screen acting.,
1982,IRVING G. THALBERG MEMORIAL AWARD,Albert R. Broccoli,
1983,PRODUCTION DESIGN,"Art Direction:  Stuart Craig, Bob Laing;  Set Decoration:  Michael Seirton",Gandhi
1983,CINEMATOGRAPHY,"Billy Williams, Ronnie Taylor",Gandhi
1983,COSTUME DESIGN,"John Mollo, Bhanu Athaiya",Gandhi
1983,DIRECTING,Richard Attenborough,Gandhi
1983,DOCUMENTARY (Feature),"John Zaritsky, Producer",Just Another Missing Kid
1983,DOCUMENTARY (Short Subject),"Edward Le Lorrain and Terri Nash, Producers",If You Love This Planet
1983,FILM EDITING,John Bloom,Gandhi
1983,FOREIGN LANGUAGE FILM,Spain,Volver a Empezar ('To Begin Again')
1983,MAKEUP,"Sarah Monzani, Michèle Burke",Quest for Fire
1983,MUSIC (Original Score),John Williams,E.T. The Extra-Terrestrial
1983,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini,Victor/Victoria
1983,MUSIC (Original Song),Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings,An Officer and a Gentleman
1983,BEST PICTURE,"Richard Attenborough, Producer",Gandhi
1983,SHORT FILM (Animated),"Zbigniew Rybczynski, Producer",Tango
1983,SHORT FILM (Live Action),"Christine Oestreicher, Producer",A Shocking Accident
1983,SOUND,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa",E.T. The Extra-Terrestrial
1983,SOUND EFFECTS EDITING,"Charles L. Campbell, Ben Burtt",E.T. The Extra-Terrestrial
1983,VISUAL EFFECTS,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith",E.T. The Extra-Terrestrial
1983,WRITING (Adapted Screenplay),"Costa-Gavras, Donald Stewart",Missing
1983,WRITING (Screenplay Written Directly for the Screen),John Briley,Gandhi
1983,JEAN HERSHOLT HUMANITARIAN AWARD,Walter Mirisch,
1983,HONORARY AWARD, Mickey Rooney,
1984,PRODUCTION DESIGN,Anna Asp,Fanny & Alexander
1984,CINEMATOGRAPHY,Sven Nykvist,Fanny & Alexander
1984,COSTUME DESIGN,Marik Vos,Fanny & Alexander
1984,DIRECTING,James L. Brooks,Terms of Endearment
1984,DOCUMENTARY (Feature),"Emile Ardolino, Producer",He Makes Me Feel Like Dancin'
1984,DOCUMENTARY (Short Subject),"Cynthia Scott and Adam Symansky, Producers",Flamenco at 5:15
1984,FILM EDITING,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf",The Right Stuff
1984,FOREIGN LANGUAGE FILM,Sweden,Fanny & Alexander
1984,MUSIC (Original Score),Bill Conti,The Right Stuff
1984,MUSIC (Original Song Score or Adaptation Score),"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman",Yentl
1984,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara,Flashdance
1984,BEST PICTURE,"James L. Brooks, Producer",Terms of Endearment
1984,SHORT FILM (Animated),"Jimmy Picker, Producer",Sundae in New York
1984,SHORT FILM (Live Action),"Janice L. Platt, Producer",Boys and Girls
1984,SOUND,"Mark Berger, Tom Scott, Randy Thom, David MacMillan",The Right Stuff
1984,SOUND EFFECTS EDITING,Jay Boekelheide,The Right Stuff
1984,WRITING (Adapted Screenplay),James L. Brooks,Terms of Endearment
1984,WRITING (Screenplay Written Directly for the Screen),Horton Foote,Tender Mercies
1984,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett",Return of the Jedi
1984,JEAN HERSHOLT HUMANITARIAN AWARD,M. J. Frankovich,
1984,HONORARY AWARD, Hal Roach,
1985,PRODUCTION DESIGN,Art Direction:  Patrizia Von Brandenstein;  Set Decoration:  Karel Cerny,Amadeus
1985,CINEMATOGRAPHY,Chris Menges,The Killing Fields
1985,COSTUME DESIGN,Theodor Pistek,Amadeus
1985,DIRECTING,Milos Forman,Amadeus
1985,DOCUMENTARY (Feature),"Robert Epstein and Richard Schmiechen, Producers",The Times of Harvey Milk
1985,DOCUMENTARY (Short Subject),"Marjorie Hunt and Paul Wagner, Producers",The Stone Carvers
1985,FILM EDITING,Jim Clark,The Killing Fields
1985,FOREIGN LANGUAGE FILM,Switzerland,Dangerous Moves
1985,MAKEUP,"Paul LeBlanc, Dick Smith",Amadeus
1985,MUSIC (Original Score),Maurice Jarre,A Passage to India
1985,MUSIC (Original Song Score),Prince,Purple Rain
1985,MUSIC (Original Song),Music and Lyric by Stevie Wonder,The Woman in Red
1985,BEST PICTURE,"Saul Zaentz, Producer",Amadeus
1985,SHORT FILM (Animated),"Jon Minnis, Producer",Charade
1985,SHORT FILM (Live Action),"Mike Hoover, Producer",Up
1985,SOUND,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman",Amadeus
1985,VISUAL EFFECTS,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs",Indiana Jones and the Temple of Doom
1985,WRITING (Adapted Screenplay),Peter Shaffer,Amadeus
1985,WRITING (Screenplay Written Directly for the Screen),Robert Benton,Places in the Heart
1985,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Kay Rose,The River
1985,JEAN HERSHOLT HUMANITARIAN AWARD,David L. Wolper,
1985,HONORARY AWARD, James Stewart,
1985,HONORARY AWARD, the National Endowment for the Arts,
1986,PRODUCTION DESIGN,Art Direction:  Stephen Grimes;  Set Decoration:  Josie MacAvin,Out of Africa
1986,CINEMATOGRAPHY,David Watkin,Out of Africa
1986,COSTUME DESIGN,Emi Wada,Ran
1986,DIRECTING,Sydney Pollack,Out of Africa
1986,DOCUMENTARY (Feature),"Maria Florio and Victoria Mudd, Producers",Broken Rainbow
1986,DOCUMENTARY (Short Subject),"David Goodman, Producer",Witness to War: Dr. Charlie Clements
1986,FILM EDITING,Thom Noble,Witness
1986,FOREIGN LANGUAGE FILM,Argentina,The Official Story
1986,MAKEUP,"Michael Westmore, Zoltan Elek",Mask
1986,MUSIC (Original Score),John Barry,Out of Africa
1986,MUSIC (Original Song),Music and Lyric by Lionel Richie,White Nights
1986,BEST PICTURE,"Sydney Pollack, Producer",Out of Africa
1986,SHORT FILM (Animated),"Cilia Van Dijk, Producer",Anna & Bella
1986,SHORT FILM (Live Action),"Jeff Brown and Chris Pelzer, Producers",Molly's Pilgrim
1986,SOUND,"Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford",Out of Africa
1986,SOUND EFFECTS EDITING,"Charles L. Campbell, Robert Rutledge",Back to the Future
1986,VISUAL EFFECTS,"Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry",Cocoon
1986,WRITING (Adapted Screenplay),Kurt Luedtke,Out of Africa
1986,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Earl W. Wallace, William Kelley;  Story by William Kelley, Pamela Wallace, Earl W. Wallace",Witness
1986,JEAN HERSHOLT HUMANITARIAN AWARD,Charles 'Buddy' Rogers,
1986,HONORARY AWARD, Paul Newman,
1986,HONORARY AWARD, Alex North,
1987,PRODUCTION DESIGN,"Art Direction:  Gianni Quaranta, Brian Ackland-Snow;  Set Decoration:  Brian Savegar, Elio Altamura",A Room with a View
1987,CINEMATOGRAPHY,Chris Menges,The Mission
1987,COSTUME DESIGN,"Jenny Beavan, John Bright",A Room with a View
1987,DIRECTING,Oliver Stone,Platoon
1987,DOCUMENTARY (Feature),"Brigitte Berman, Producer",Artie Shaw: Time Is All You've Got
1987,DOCUMENTARY (Feature),"Joseph Feury and Milton Justice, Producers",Down and Out in America
1987,DOCUMENTARY (Short Subject),"Vivienne Verdon-Roe, Producer","Women--for America, for the World"
1987,FILM EDITING,Claire Simpson,Platoon
1987,FOREIGN LANGUAGE FILM,The Netherlands,The Assault
1987,MAKEUP,"Chris Walas, Stephan Dupuis",The Fly
1987,MUSIC (Original Score),Herbie Hancock,'Round Midnight
1987,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Tom Whitlock,Top Gun
1987,BEST PICTURE,"Arnold Kopelson, Producer",Platoon
1987,SHORT FILM (Animated),"Linda Van Tulden and Willem Thijssen, Producers",A Greek Tragedy
1987,SHORT FILM (Live Action),"Chuck Workman, Producer",Precious Images
1987,SOUND,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach,  Simon Kaye",Platoon
1987,SOUND EFFECTS EDITING,Don Sharpe,Aliens
1987,VISUAL EFFECTS,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson",Aliens
1987,WRITING (Adapted Screenplay),Ruth Prawer Jhabvala,A Room with a View
1987,WRITING (Screenplay Written Directly for the Screen),Woody Allen,Hannah and Her Sisters
1987,HONORARY AWARD, Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting.,
1987,IRVING G. THALBERG MEMORIAL AWARD,Steven Spielberg,
1988,PRODUCTION DESIGN,"Art Direction:  Ferdinando Scarfiotti;  Set Decoration:  Bruno Cesari, Osvaldo Desideri",The Last Emperor
1988,CINEMATOGRAPHY,Vittorio Storaro,The Last Emperor
1988,COSTUME DESIGN,James Acheson,The Last Emperor
1988,DIRECTING,Bernardo Bertolucci,The Last Emperor
1988,DOCUMENTARY (Feature),"Aviva Slesin, Producer",The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table
1988,DOCUMENTARY (Short Subject),"Sue Marx and Pamela Conn, Producers",Young at Heart
1988,FILM EDITING,Gabriella Cristiani,The Last Emperor
1988,FOREIGN LANGUAGE FILM,Denmark,Babette's Feast
1988,MAKEUP,Rick Baker,Harry and the Hendersons
1988,MUSIC (Original Score),"Ryuichi Sakamoto, David Byrne, Cong Su",The Last Emperor
1988,MUSIC (Original Song),"Music by Franke Previte, John DeNicola and Donald Markowitz; Lyric by Franke Previte",Dirty Dancing
1988,BEST PICTURE,"Jeremy Thomas, Producer",The Last Emperor
1988,SHORT FILM (Animated),"Frédéric Back, Producer",The Man Who Planted Trees
1988,SHORT FILM (Live Action),"Jonathan Sanger and Jana Sue Memel, Producers",Ray's Male Heterosexual Dance Hall
1988,SOUND,"Bill Rowe, Ivan Sharrock",The Last Emperor
1988,VISUAL EFFECTS,"Dennis Muren, William George, Harley Jessup, Kenneth Smith",Innerspace
1988,WRITING (Adapted Screenplay),"Mark Peploe, Bernardo Bertolucci",The Last Emperor
1988,WRITING (Screenplay Written Directly for the Screen),John Patrick Shanley,Moonstruck
1988,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),"Stephen Flick, John Pospisil",RoboCop
1988,IRVING G. THALBERG MEMORIAL AWARD,Billy Wilder,
1989,PRODUCTION DESIGN,Art Direction:  Stuart Craig;  Set Decoration:  Gerard James,Dangerous Liaisons
1989,CINEMATOGRAPHY,Peter Biziou,Mississippi Burning
1989,COSTUME DESIGN,James Acheson,Dangerous Liaisons
1989,DIRECTING,Barry Levinson,Rain Man
1989,DOCUMENTARY (Feature),"Marcel Ophuls, Producer",Hotel Terminus: The Life and Times of Klaus Barbie
1989,DOCUMENTARY (Short Subject),"William Guttentag and Malcolm Clarke, Producers",You Don't Have to Die
1989,FILM EDITING,Arthur Schmidt,Who Framed Roger Rabbit
1989,FOREIGN LANGUAGE FILM,Denmark,Pelle the Conqueror
1989,MAKEUP,"Ve Neill, Steve La Porte, Robert Short",Beetlejuice
1989,MUSIC (Original Score),Dave Grusin,The Milagro Beanfield War
1989,MUSIC (Original Song),Music and Lyric by Carly Simon,Working Girl
1989,BEST PICTURE,"Mark Johnson, Producer",Rain Man
1989,SHORT FILM (Animated),"John Lasseter, William Reeves",Tin Toy
1989,SHORT FILM (Live Action),"Dean Parisot, Steven Wright",The Appointments of Dennis Jennings
1989,SOUND,"Les Fresholtz, Dick Alexander, Vern Poore, Willie D. Burton",Bird
1989,SOUND EFFECTS EDITING,"Charles L. Campbell, Louis L. Edemann",Who Framed Roger Rabbit
1989,VISUAL EFFECTS,"Ken Ralston, Richard Williams, Edward Jones, George Gibbs",Who Framed Roger Rabbit
1989,WRITING (Adapted Screenplay),Christopher Hampton,Dangerous Liaisons
1989,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Ronald Bass, Barry Morrow;  Story by Barry Morrow",Rain Man
1989,SPECIAL ACHIEVEMENT AWARD, Richard Williams for the animation direction of Who Framed Roger Rabbit.,
1989,HONORARY AWARD, the National Film Board of Canada in recognition of its 50th anniversary and its dedicated commitment to originate artistic,
1989,HONORARY AWARD, Eastman Kodak Company in recognition of the company's fundamental contributions to the art of motion pictures during the first century of film history.,
1990,PRODUCTION DESIGN,Art Direction:  Anton Furst;  Set Decoration:  Peter Young,Batman
1990,CINEMATOGRAPHY,Freddie Francis,Glory
1990,COSTUME DESIGN,Phyllis Dalton,Henry V
1990,DIRECTING,Oliver Stone,Born on the Fourth of July
1990,DOCUMENTARY (Feature),"Robert Epstein and Bill Couturié, Producers",Common Threads: Stories from the Quilt
1990,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",The Johnstown Flood
1990,FILM EDITING,"David Brenner, Joe Hutshing",Born on the Fourth of July
1990,FOREIGN LANGUAGE FILM,Italy,Cinema Paradiso
1990,MAKEUP,"Manlio Rocchetti, Lynn Barber, Kevin Haney",Driving Miss Daisy
1990,MUSIC (Original Score),Alan Menken,The Little Mermaid
1990,MUSIC (Original Song),Music by Alan Menken; Lyric by Howard Ashman,The Little Mermaid
1990,BEST PICTURE,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Driving Miss Daisy
1990,SHORT FILM (Animated),"Christoph Lauenstein, Wolfgang Lauenstein",Balance
1990,SHORT FILM (Live Action),James Hendrie,Work Experience
1990,SOUND,"Donald O. Mitchell, Gregg C. Rudloff, Elliot Tyson, Russell Williams II",Glory
1990,SOUND EFFECTS EDITING,"Ben Burtt, Richard Hymns",Indiana Jones and the Last Crusade
1990,VISUAL EFFECTS,"John Bruno, Dennis Muren, Hoyt Yeatman, Dennis Skotak",The Abyss
1990,WRITING (Adapted Screenplay),Alfred Uhry,Driving Miss Daisy
1990,WRITING (Screenplay Written Directly for the Screen),Tom Schulman,Dead Poets Society
1990,JEAN HERSHOLT HUMANITARIAN AWARD,Howard W. Koch,
1990,HONORARY AWARD, Akira Kurosawa for accomplishments that have inspired,
1991,PRODUCTION DESIGN,Art Direction:  Richard Sylbert;  Set Decoration:  Rick Simpson,Dick Tracy
1991,CINEMATOGRAPHY,Dean Semler,Dances With Wolves
1991,COSTUME DESIGN,Franca Squarciapino,Cyrano de Bergerac
1991,DIRECTING,Kevin Costner,Dances With Wolves
1991,DOCUMENTARY (Feature),"Barbara Kopple and Arthur Cohn, Producers",American Dream
1991,DOCUMENTARY (Short Subject),"Steven Okazaki, Producer",Days of Waiting
1991,FILM EDITING,Neil Travis,Dances With Wolves
1991,FOREIGN LANGUAGE FILM,Switzerland,Journey of Hope
1991,MAKEUP,"John Caglione, Jr., Doug Drexler",Dick Tracy
1991,MUSIC (Original Score),John Barry,Dances With Wolves
1991,MUSIC (Original Song),Music and Lyric by Stephen Sondheim,Dick Tracy
1991,BEST PICTURE,"Jim Wilson and Kevin Costner, Producers",Dances With Wolves
1991,SHORT FILM (Animated),Nick Park,Creature Comforts
1991,SHORT FILM (Live Action),Adam Davidson,The Lunch Date
1991,SOUND,"Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II",Dances With Wolves
1991,SOUND EFFECTS EDITING,"Cecelia Hall, George Watters II",The Hunt for Red October
1991,WRITING (Adapted Screenplay),Michael Blake,Dances With Wolves
1991,WRITING (Screenplay Written Directly for the Screen),Bruce Joel Rubin,Ghost
1991,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke",Total Recall
1991,HONORARY AWARD, Sophia Loren,
1991,HONORARY AWARD, Myrna Loy,
1991,IRVING G. THALBERG MEMORIAL AWARD,David Brown and Richard D. Zanuck,
1992,PRODUCTION DESIGN,Art Direction:  Dennis Gassner;  Set Decoration:  Nancy Haigh,Bugsy
1992,CINEMATOGRAPHY,Robert Richardson,JFK
1992,COSTUME DESIGN,Albert Wolsky,Bugsy
1992,DIRECTING,Jonathan Demme,The Silence of the Lambs
1992,DOCUMENTARY (Feature),"Allie Light and Irving Saraf, Producers",In the Shadow of the Stars
1992,DOCUMENTARY (Short Subject),"Debra Chasnoff, Producer","Deadly Deception: General Electric, Nuclear Weapons and Our Environment"
1992,FILM EDITING,"Joe Hutshing, Pietro Scalia",JFK
1992,FOREIGN LANGUAGE FILM,Italy,Mediterraneo
1992,MAKEUP,"Stan Winston, Jeff Dawn",Terminator 2: Judgment Day
1992,MUSIC (Original Score),Alan Menken,Beauty and the Beast
1992,MUSIC (Original Song),Music by Alan Menken; Lyric by Howard Ashman,Beauty and the Beast
1992,BEST PICTURE,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",The Silence of the Lambs
1992,SHORT FILM (Animated),Daniel Greaves,Manipulation
1992,SHORT FILM (Live Action),"Seth Winston, Rob Fried",Session Man
1992,SOUND,"Tom Johnson, Gary Rydstrom, Gary Summers, Lee Orloff",Terminator 2: Judgment Day
1992,SOUND EFFECTS EDITING,"Gary Rydstrom, Gloria S. Borders",Terminator 2: Judgment Day
1992,VISUAL EFFECTS,"Dennis Muren, Stan Winston, Gene Warren, Jr., Robert Skotak",Terminator 2: Judgment Day
1992,WRITING (Adapted Screenplay),Ted Tally,The Silence of the Lambs
1992,WRITING (Screenplay Written Directly for the Screen),Callie Khouri,Thelma & Louise
1992,HONORARY AWARD, Satyajit Ray,
1992,IRVING G. THALBERG MEMORIAL AWARD,George Lucas,
1993,PRODUCTION DESIGN,Art Direction:  Luciana Arrighi;  Set Decoration:  Ian Whittaker,Howards End
1993,CINEMATOGRAPHY,Philippe Rousselot,A River Runs through It
1993,COSTUME DESIGN,Eiko Ishioka,Bram Stoker's Dracula
1993,DIRECTING,Clint Eastwood,Unforgiven
1993,DOCUMENTARY (Feature),"Barbara Trent and David Kasper, Producers",The Panama Deception
1993,DOCUMENTARY (Short Subject),"Thomas C. Goodwin and Gerardine Wurzburg, Producers",Educating Peter
1993,FILM EDITING,Joel Cox,Unforgiven
1993,FOREIGN LANGUAGE FILM,France,Indochine
1993,MAKEUP,"Greg Cannom, Michèle Burke, Matthew W. Mungle",Bram Stoker's Dracula
1993,MUSIC (Original Score),Alan Menken,Aladdin
1993,MUSIC (Original Song),Music by Alan Menken; Lyric by Tim Rice,Aladdin
1993,BEST PICTURE,"Clint Eastwood, Producer",Unforgiven
1993,SHORT FILM (Animated),Joan C. Gratz,Mona Lisa Descending a Staircase
1993,SHORT FILM (Live Action),Sam Karmann,Omnibus
1993,SOUND,"Chris Jenkins, Doug Hemphill, Mark Smith, Simon Kaye",The Last of the Mohicans
1993,SOUND EFFECTS EDITING,"Tom C. McCarthy, David E. Stone",Bram Stoker's Dracula
1993,VISUAL EFFECTS,"Ken Ralston, Doug Chiang, Doug Smythe, Tom Woodruff, Jr.",Death Becomes Her
1993,WRITING (Adapted Screenplay),Ruth Prawer Jhabvala,Howards End
1993,WRITING (Screenplay Written Directly for the Screen),Neil Jordan,The Crying Game
1993,JEAN HERSHOLT HUMANITARIAN AWARD,Audrey Hepburn,
1993,JEAN HERSHOLT HUMANITARIAN AWARD,Elizabeth Taylor,
1993,HONORARY AWARD, Federico Fellini in recognition of his place as one of the screen's master storytellers.,
1994,PRODUCTION DESIGN,Art Direction:  Allan Starski;  Set Decoration:  Ewa Braun,Schindler's List
1994,CINEMATOGRAPHY,Janusz Kaminski,Schindler's List
1994,COSTUME DESIGN,Gabriella Pescucci,The Age of Innocence
1994,DIRECTING,Steven Spielberg,Schindler's List
1994,DOCUMENTARY (Feature),"Susan Raymond, Alan Raymond",I Am a Promise: The Children of Stanton Elementary School
1994,DOCUMENTARY (Short Subject),"Margaret Lazarus, Renner Wunderlich",Defending Our Lives
1994,FILM EDITING,Michael Kahn,Schindler's List
1994,FOREIGN LANGUAGE FILM,Spain,Belle Epoque
1994,MAKEUP,"Greg Cannom, Ve Neill, Yolanda Toussieng",Mrs. Doubtfire
1994,MUSIC (Original Score),John Williams,Schindler's List
1994,MUSIC (Original Song),Music and Lyric by Bruce Springsteen,Philadelphia
1994,BEST PICTURE,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Schindler's List
1994,SHORT FILM (Animated),Nick Park,The Wrong Trousers
