director_name,ceremony,year,category,outcome,original_language
Alejandro Gonzรกlez Iรฑรกrritu,Gold Derby Awards,2015,Gold Derby Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Golden Schmoes Awards,2015,Golden Schmoes,2nd place,en
Alejandro Gonzรกlez Iรฑรกrritu,Houston Film Critics Society Awards,2015,HFCS Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Indiewire Critics' Poll,2015,ICP Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,International Online Cinema Awards (INOCA),2015,INOCA,2nd place,en
Alejandro Gonzรกlez Iรฑรกrritu,International Online Cinema Awards (INOCA),2015,INOCA,3rd place,en
Alejandro Gonzรกlez Iรฑรกrritu,International Online Film Critics' Poll,2015,IOFCP Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Iowa Film Critics Awards,2015,IFC Award,2nd place,en
Alejandro Gonzรกlez Iรฑรกrritu,Italian Online Movie Awards (IOMA),2015,IOMA,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,Italian Online Movie Awards (IOMA),2015,IOMA,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Kansas City Film Critics Circle Awards,2015,KCFCC Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,London Critics Circle Film Awards,2015,ALFS Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,"National Society of Film Critics Awards, USA",2015,NSFC Award,3rd place,en
Alejandro Gonzรกlez Iรฑรกrritu,Nevada Film Critics Society,2015,NFCS Award,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,North Carolina Film Critics Association,2015,NCFCA Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Online Film & Television Association,2015,OFTA Film Award,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,Online Film & Television Association,2015,OFTA Film Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Palm Springs International Film Festival,2015,Director of the Year Award,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,PGA Awards,2015,PGA Award,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,Phoenix Critics Circle,2015,PCC Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Phoenix Film Critics Society Awards,2015,PFCS Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,San Diego Film Critics Society Awards,2015,SDFCS Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,San Francisco Film Critics Circle,2015,SFFCC Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Satellite Awards,2015,Satellite Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Seattle Film Critics Awards,2015,Seattle Film Critics Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,"St. Louis Film Critics Association, US",2015,SLFCA Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Vancouver Film Critics Circle,2015,VFCC Award,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,Vancouver Film Critics Circle,2015,VFCC Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Washington DC Area Film Critics Association Awards,2015,WAFCA Award,Nominated,en
David Cronenberg,"Canadian Screen Awards, CA",2015,Canadian Screen Award,Nominated,en
David Cronenberg,Directors Guild of Canada,2015,DGC Lifetime Achievement Award,Won,en
Terry Gilliam,Venice Film Festival,2015,Fondazione Mimmo Rotella Special Award,Won,en
Pedro Almodรณvar,Goya Awards,2015,Goya,Nominated,es
Hany Abu-Assad,Asia Pacific Screen Awards,2015,UNESCO Award,Won,en
Hany Abu-Assad,"Cinema Bloggers Awards, Portugal",2015,Cinema Bloggers Award,Nominated,en
Stephen Daldry,BAFTA Awards,2015,BAFTA Film Award,Nominated,en
Steven Spielberg,Heartland Film,2015,Truly Moving Picture Award,Won,en
Steven Spielberg,Satellite Awards,2015,Satellite Award,Nominated,en
Richard Linklater,"Academy Awards, USA",2015,Oscar,Nominated,en
Richard Linklater,"Golden Globes, USA",2015,Golden Globe,Won,en
Richard Linklater,"Golden Globes, USA",2015,Golden Globe,Nominated,en
Richard Linklater,BAFTA Awards,2015,David Lean Award for Direction,Won,en
Richard Linklater,BAFTA Awards,2015,BAFTA Film Award,Won,en
Richard Linklater,BAFTA Awards,2015,BAFTA Film Award,Nominated,en
Richard Linklater,AACTA International Awards,2015,AACTA International Award,Nominated,en
Richard Linklater,Alliance of Women Film Journalists,2015,EDA Award,Won,en
Richard Linklater,Alliance of Women Film Journalists,2015,EDA Award,Nominated,en
Richard Linklater,Argentinean Film Critics Association Awards,2015,Silver Condor,Nominated,en
Richard Linklater,Bodil Awards,2015,Bodil,Won,en
Richard Linklater,Broadcast Film Critics Association Awards,2015,Critics Choice Award,Won,en
Richard Linklater,Broadcast Film Critics Association Awards,2015,Critics Choice Award,Nominated,en
Richard Linklater,"Casting Society of America, USA",2015,Career Achievement Award,Won,en
Richard Linklater,Central Ohio Film Critics Association,2015,COFCA Award,Nominated,en
Richard Linklater,Chlotrudis Awards,2015,Chlotrudis Award,Nominated,en
Richard Linklater,"Cinema Audio Society, USA",2015,Filmmaker Award,Won,en
Richard Linklater,"Cinema Bloggers Awards, Portugal",2015,Cinema Bloggers Award,Won,en
Richard Linklater,"Cinema Bloggers Awards, Portugal",2015,Cinema Bloggers Award,Nominated,en
Richard Linklater,Cinema Brazil Grand Prize,2015,Audience Award,Won,en
Richard Linklater,Cinema Brazil Grand Prize,2015,Cinema Brazil Grand Prize,Nominated,en
Richard Linklater,"Cinema Eye Honors Awards, US",2015,Heterodox Award,Won,en
Richard Linklater,"Cinema Writers Circle Awards, Spain",2015,CEC Award,Nominated,en
Richard Linklater,CinEuphoria Awards,2015,CinEuphoria,Won,en
Richard Linklater,CinEuphoria Awards,2015,CinEuphoria,Nominated,en
Richard Linklater,Costume Designers Guild Awards,2015,Distinguished Collaborator Award,Won,en
Richard Linklater,Crรญticos de Cinema Online Portugueses Awards,2015,CCOP,Nominated,en
Richard Linklater,"Cรฉsar Awards, France",2015,Cรฉsar,Nominated,en
Richard Linklater,David di Donatello Awards,2015,David,Nominated,en
Richard Linklater,Denver Film Critics Society,2015,DFCS Award,Won,en
Richard Linklater,Denver Film Critics Society,2015,DFCS Award,Nominated,en
Richard Linklater,"Directors Guild of America, USA",2015,DGA Award,Nominated,en
Richard Linklater,"Empire Awards, UK",2015,Empire Award,Nominated,en
Richard Linklater,Film Independent Spirit Awards,2015,Independent Spirit Award,Won,en
Richard Linklater,Film Independent Spirit Awards,2015,Independent Spirit Award,Nominated,en
Richard Linklater,Fotogramas de Plata,2015,Fotogramas de Plata,Won,en
Richard Linklater,Gay and Lesbian Entertainment Critics Association (GALECA),2015,Dorian Award,Nominated,en
Richard Linklater,Georgia Film Critics Association (GFCA),2015,GFCA Award,Won,en
Richard Linklater,Georgia Film Critics Association (GFCA),2015,GFCA Award,Nominated,en
Richard Linklater,Gold Derby Awards,2015,Gold Derby Award,Won,en
Richard Linklater,Gold Derby Awards,2015,Gold Derby Award,Nominated,en
Richard Linklater,Guldbagge Awards,2015,Guldbagge,Nominated,en
Richard Linklater,Houston Film Critics Society Awards,2015,HFCS Award,Won,en
Richard Linklater,International Cinephile Society Awards,2015,ICS Award,Nominated,en
Richard Linklater,International Online Cinema Awards (INOCA),2015,INOCA,2nd place,en
Richard Linklater,International Online Film Critics' Poll,2015,IOFCP Award,Won,en
Richard Linklater,International Online Film Critics' Poll,2015,IOFCP Award,Nominated,en
Richard Linklater,Iowa Film Critics Awards,2015,IFC Award,Won,en
Richard Linklater,Italian Online Movie Awards (IOMA),2015,IOMA,Nominated,en
Richard Linklater,London Critics Circle Film Awards,2015,ALFS Award,Won,en
Richard Linklater,London Critics Circle Film Awards,2015,ALFS Award,Nominated,en
Richard Linklater,"National Society of Film Critics Awards, USA",2015,NSFC Award,Won,en
Richard Linklater,North Carolina Film Critics Association,2015,NCFCA Award,Won,en
Richard Linklater,North Carolina Film Critics Association,2015,NCFCA Award,Nominated,en
Richard Linklater,"North Texas Film Critics Association, US",2015,NTFCA Award,Won,en
Richard Linklater,Oklahoma Film Critics Circle Awards,2015,OFCC Award,Won,en
Richard Linklater,Online Film & Television Association,2015,OFTA Film Award,Won,en
Richard Linklater,Online Film & Television Association,2015,OFTA Film Award,Nominated,en
Richard Linklater,Palm Springs International Film Festival,2015,Sonny Bono Visionary Award,Won,en
Richard Linklater,PGA Awards,2015,PGA Award,Nominated,en
Richard Linklater,Robert Festival,2015,Robert,Won,en
Richard Linklater,Santa Barbara International Film Festival,2015,Outstanding Director of the Year Award,Won,en
Richard Linklater,Seattle Film Critics Awards,2015,Seattle Film Critics Award,Won,en
Richard Linklater,Seattle Film Critics Awards,2015,Seattle Film Critics Award,Nominated,en
Richard Linklater,"SESC Film Festival, Brazil",2015,Critics Award,Won,en
Richard Linklater,"SESC Film Festival, Brazil",2015,Audience Award,Won,en
Richard Linklater,Vancouver Film Critics Circle,2015,VFCC Award,Nominated,en
Richard Linklater,"Writers Guild of America, USA",2015,WGA Award (Screen),Nominated,en
Christopher Nolan,"Academy of Science Fiction, Fantasy & Horror Films, USA",2015,Saturn Award,Won,en
Christopher Nolan,"Academy of Science Fiction, Fantasy & Horror Films, USA",2015,Saturn Award,Nominated,en
Christopher Nolan,"Amanda Awards, Norway",2015,Amanda,Nominated,en
Christopher Nolan,Art Directors Guild,2015,Contribution to Cinematic Imagery Award,Won,en
Christopher Nolan,"Cinema Bloggers Awards, Portugal",2015,Cinema Bloggers Award,Nominated,en
Christopher Nolan,"Cinema Writers Circle Awards, Spain",2015,CEC Award,Nominated,en
Christopher Nolan,Denver Film Critics Society,2015,DFCS Award,Nominated,en
Christopher Nolan,"Empire Awards, UK",2015,Empire Award,Won,en
Christopher Nolan,"Empire Awards, UK",2015,Inspiration Award,Won,en
Christopher Nolan,Gold Derby Awards,2015,Gold Derby Award,Nominated,en
Christopher Nolan,Hugo Awards,2015,Hugo,Nominated,en
Christopher Nolan,Robert Festival,2015,Robert,Nominated,en
Christopher Nolan,Science Fiction and Fantasy Writers of America,2015,Bradbury Award,Nominated,en
Ridley Scott,Primetime Emmy Awards,2015,Primetime Emmy,Nominated,en
Ridley Scott,AARP Movies for Grownups Awards,2015,Movies for Grownups Award,Won,en
Ridley Scott,Accolade Competition,2015,Best of Show,Won,en
Ridley Scott,Awards Circuit Community Awards,2015,ACCA,Nominated,en
Ridley Scott,Florida Film Critics Circle Awards,2015,FFCC Award,Nominated,en
Ridley Scott,Golden Schmoes Awards,2015,Golden Schmoes,Nominated,en
Ridley Scott,Hollywood Film Awards,2015,Hollywood Film Award,Won,en
Ridley Scott,"National Board of Review, USA",2015,NBR Award,Won,en
Ridley Scott,Online Film Critics Society Awards,2015,OFCS Award,Nominated,en
Ridley Scott,Phoenix Critics Circle,2015,PCC Award,Nominated,en
Ridley Scott,Phoenix Film Critics Society Awards,2015,PFCS Award,Won,en
Ridley Scott,Rondo Hatton Classic Horror Awards,2015,Rondo Statuette,Nominated,en
Ridley Scott,Satellite Awards,2015,Satellite Award,Nominated,en
Ridley Scott,"St. Louis Film Critics Association, US",2015,SLFCA Award,Nominated,en
Ridley Scott,Utah Film Critics Association Awards,2015,UFCA Award,2nd place,en
Ridley Scott,Walk of Fame,2015,Star on the Walk of Fame,Won,en
Ridley Scott,Washington DC Area Film Critics Association Awards,2015,WAFCA Award,Nominated,en
Zhang Yimou,Beijing Student Film Festival,2015,Jury Award,Nominated,zh
Zhang Yimou,China Film Director's Guild Awards,2015,China Film Directors' Guild Award,Nominated,zh
Zhang Yimou,Huading Award,2015,Huading Award,Nominated,zh
Hayao Miyazaki,"Academy Awards, USA",2015,Honorary Award,Won,ja
Hayao Miyazaki,Italian Online Movie Awards (IOMA),2015,IOMA,Nominated,ja
Michael Bay,Razzie Awards,2015,Razzie Award,Won,en
Susanne Bier,Seattle International Film Festival,2015,Golden Space Needle Award,Nominated,da
Martin Scorsese,"Cinema Bloggers Awards, Portugal",2015,Cinema Bloggers Award,Nominated,en
Martin Scorsese,Cinema Brazil Grand Prize,2015,Cinema Brazil Grand Prize,Nominated,en
Martin Scorsese,CinEuphoria Awards,2015,CinEuphoria,Won,en
Brian De Palma,Venice Film Festival,2015,Jaeger-LeCoultre Glory to the Filmmaker Award,Won,en
Kim Ki-duk,Fantasporto,2015,Directors' Week Award,Nominated,ko
Kim Ki-duk,Fantasporto,2015,Orient Express Section Grand Prize,Nominated,ko
Kim Ki-duk,Sakhalin International Film Festival,2015,Grand Prix,Nominated,ko
Joel Coen,Argentinean Film Critics Association Awards,2015,Silver Condor,Nominated,en
Joel Coen,Awards Circuit Community Awards,2015,ACCA,Nominated,en
Joel Coen,Bodil Awards,2015,Bodil,Nominated,en
Joel Coen,Broadcast Film Critics Association Awards,2015,Critics Choice Award,Nominated,en
Joel Coen,Chicago Film Critics Association Awards,2015,CFCA Award,Nominated,en
Joel Coen,"Indiana Film Journalists Association, US",2015,IFJA Award,2nd place,en
Joel Coen,PGA Awards,2015,PGA Award,Won,en
Joel Coen,Phoenix Critics Circle,2015,PCC Award,Nominated,en
Joel Coen,Phoenix Film Critics Society Awards,2015,PFCS Award,Nominated,en
Joel Coen,Satellite Awards,2015,Satellite Award,Nominated,en
Joel Coen,"Screenwriters Choice Awards, Online",2015,Screenplay Competition,Nominated,en
Joel Coen,Washington DC Area Film Critics Association Awards,2015,WAFCA Award,Nominated,en
Peter Jackson,"Academy of Science Fiction, Fantasy & Horror Films, USA",2015,Saturn Award,Nominated,en
Peter Jackson,"Empire Awards, UK",2015,Empire Award,Nominated,en
Albert Maysles,"Cinema Eye Honors Awards, US",2015,Cinema Eye Honors Award,Won,en
Albert Maysles,Philadelphia Film Festival,2015,Jury Award,Nominated,en
Albert Maysles,Tribeca Film Festival,2015,Special Mention,Won,en
Albert Maysles,Tribeca Film Festival,2015,Jury Award,Nominated,en
Albert Maysles,Women Film Critics Circle Awards,2015,WFCC Award,Nominated,en
D.A. Pennebaker,"Cinema Eye Honors Awards, US",2015,Cinema Eye Honors Award,Won,en
Harold Ramis,"Writers Guild of America, USA",2015,Laurel Award for Screen Writing Achievement,Won,en
Wim Wenders,"Academy Awards, USA",2015,Oscar,Nominated,de
Wim Wenders,Berlin International Film Festival,2015,Honorary Golden Berlin Bear,Won,de
Wim Wenders,"Cรฉsar Awards, France",2015,Cรฉsar,Won,de
Wim Wenders,David di Donatello Awards,2015,David,Nominated,de
Wim Wenders,Dublin International Film Festival,2015,Audience Award,Won,de
Wim Wenders,European Film Awards,2015,Audience Award,Nominated,de
Wim Wenders,Film Independent Spirit Awards,2015,Independent Spirit Award,Nominated,de
Wim Wenders,Goya Awards,2015,Goya,Nominated,de
Wim Wenders,International Online Cinema Awards (INOCA),2015,INOCA,Nominated,de
Wim Wenders,Lisbon & Estoril Film Festival,2015,Tribute Award,Won,de
Wim Wenders,Palm Springs International Film Festival,2015,Audience Award,2nd place,de
Wim Wenders,Sofia International Film Festival,2015,Burgas Municipality Award 'Silver Sea-Gull',Won,de
Wim Wenders,The Platino Awards for Iberoamerican Cinema,2015,Platino Award,Won,de
Nicholas Meyer,"Writers Guild of America, USA",2015,WGA Award (TV),Nominated,en
Steven Soderbergh,Primetime Emmy Awards,2015,Primetime Emmy,Nominated,en
Danny Boyle,"Telluride Film Festival, US",2015,Silver Medallion Award,Won,en
James Wan,Hollywood Film Awards,2015,Hollywood Blockbuster Award,Won,en
James Wan,Hollywood Film Awards,2015,Hollywood Movie Award,Won,en
Paul McGuigan,Rondo Hatton Classic Horror Awards,2015,Rondo Statuette,Nominated,en
Robert Rodriguez,Fangoria Chainsaw Awards,2015,Fangoria Horror Hall of Fame,Won,en
Robert Rodriguez,Guinness World Record Award,2015,Guinness World Record,Won,en
Christian Petzold,Baden-Baden TV Film Festival,2015,3Sat Audience Award,Nominated,de
Christian Petzold,German Film Critics Association Awards,2015,German Film Critics Award,Nominated,de
Christian Petzold,Hong Kong International Film Festival,2015,SIGNIS Award - Special Mention,Won,de
Christian Petzold,Hong Kong International Film Festival,2015,SIGNIS Award,Nominated,de
Christian Petzold,Indiewire Critics' Poll,2015,ICP Award,Nominated,de
Christian Petzold,Istanbul International Film Festival,2015,Golden Tulip,Nominated,de
Jean-Jacques Annaud,Beijing International Film Festival,2015,Tiantian Award,Won,en
Jean-Jacques Annaud,Beijing Student Film Festival,2015,Jury Award,Won,en
Jean-Jacques Annaud,Macau International Movie Festival,2015,Golden Lotus Awards,Won,en
Jean-Jacques Annaud,Moscow International Film Festival,2015,Special Prize,Won,en
Jean-Pierre Jeunet,3D Creative Arts Awards,2015,Harold Lloyd Award,Won,fr
Mel Gibson,Razzie Awards,2015,Razzie Award,Nominated,en
Darren Lynn Bousman,Rondo Hatton Classic Horror Awards,2015,Rondo Statuette,Nominated,en
Oliver Stone,Online Film & Television Association,2015,OFTA Film Hall of Fame,Won,en
Stephen Frears,Stockholm Film Festival,2015,Lifetime Achievement Award,Won,en
Chris Weitz,International Online Cinema Awards (INOCA),2015,Halfway Award,Nominated,en
Roman Polanski,International Online Film Critics' Poll,2015,IOFCP Award,Nominated,en
Jean-Luc Godard,International Cinephile Society Awards,2015,ICS Award,Nominated,fr
Jean-Luc Godard,"National Society of Film Critics Awards, USA",2015,NSFC Award,2nd place,fr
Jonathan Demme,Lisbon & Estoril Film Festival,2015,Tribute Award,Won,en
Jonathan Demme,Locarno International Film Festival,2015,Variety Piazza Grande Award,Nominated,en
Jonathan Demme,Venice Film Festival,2015,Persol Tribute Visionary Talent Award,Won,en
Frank Darabont,iHorror Awards,2015,iHorror Award,Nominated,en
Robert Redford,Film Society of Lincoln Center,2015,Gala Tribute,Won,en
Robert Redford,Gotham Awards,2015,Tribute Award,Won,en
Franรงois Ozon,Hawaii European Cinema Film Festival,2015,Princess Dialta Alliata di Montereale Award,Nominated,fr
John Landis,Amiens International Film Festival,2015,Golden Unicorn for Career Achievement,Won,en
Jim Jarmusch,Alliance of Women Film Journalists,2015,EDA Award,Nominated,en
Jim Jarmusch,Chlotrudis Awards,2015,Chlotrudis Award,Nominated,en
Jim Jarmusch,Film Independent Spirit Awards,2015,Independent Spirit Award,Nominated,en
Jim Jarmusch,International Cinephile Society Awards,2015,ICS Award,Nominated,en
Jim Jarmusch,International Online Cinema Awards (INOCA),2015,INOCA,2nd place,en
Thomas Vinterberg,Istanbul International Film Festival,2015,Golden Tulip,Nominated,da
Marc Evans,"BAFTA Awards, Wales",2015,BAFTA Cymru Award,Nominated,en
Andreas Dresen,Berlin International Film Festival,2015,Golden Berlin Bear,Nominated,de
Deepa Mehta,Toronto Film Critics Association Awards,2015,Clyde Gilmour Award,Won,en
Deepa Mehta,Toronto International Film Festival,2015,Best Canadian Feature Film,Nominated,en
Paul Thomas Anderson,"Academy Awards, USA",2015,Oscar,Nominated,en
Paul Thomas Anderson,Alliance of Women Film Journalists,2015,EDA Award,Nominated,en
Paul Thomas Anderson,Broadcast Film Critics Association Awards,2015,Critics Choice Award,Nominated,en
Paul Thomas Anderson,Central Ohio Film Critics Association,2015,COFCA Award,Nominated,en
Paul Thomas Anderson,Chlotrudis Awards,2015,Chlotrudis Award,Nominated,en
Paul Thomas Anderson,Denver Film Critics Society,2015,DFCS Award,Won,en
Paul Thomas Anderson,Denver Film Critics Society,2015,DFCS Award,Nominated,en
Paul Thomas Anderson,Film Club's The Lost Weekend,2015,Lost Weekend Award,Won,en
Paul Thomas Anderson,Film Independent Spirit Awards,2015,Robert Altman Award,Won,en
Paul Thomas Anderson,Georgia Film Critics Association (GFCA),2015,GFCA Award,Nominated,en
Paul Thomas Anderson,Gold Derby Awards,2015,Gold Derby Award,Nominated,en
Paul Thomas Anderson,Houston Film Critics Society Awards,2015,HFCS Award,Nominated,en
Paul Thomas Anderson,International Cinephile Society Awards,2015,ICS Award,Won,en
Paul Thomas Anderson,International Online Cinema Awards (INOCA),2015,INOCA,2nd place,en
Paul Thomas Anderson,"National Society of Film Critics Awards, USA",2015,NSFC Award,2nd place,en
Paul Thomas Anderson,Sant Jordi Awards,2015,Sant Jordi,Nominated,en
Paul Thomas Anderson,Seattle Film Critics Awards,2015,Seattle Film Critics Award,Nominated,en
Paul Thomas Anderson,USC Scripter Award,2015,USC Scripter Award,Nominated,en
Liev Schreiber,"Golden Globes, USA",2015,Golden Globe,Nominated,en
Liev Schreiber,Primetime Emmy Awards,2015,Primetime Emmy,Nominated,en
Liev Schreiber,Awards Circuit Community Awards,2015,ACCA,Won,en
Liev Schreiber,"Detroit Film Critic Society, US",2015,DFCS Award,Won,en
Liev Schreiber,Gotham Awards,2015,Special Jury Award,Won,en
Liev Schreiber,Nevada Film Critics Society,2015,NFCS Award,Won,en
Liev Schreiber,Satellite Awards,2015,Satellite Award,Nominated,en
Liev Schreiber,Village Voice Film Poll,2015,VVFP Award,Nominated,en
Fatih Akin,CPH PIX,2015,Politiken's Audience Award,Nominated,de
Fatih Akin,Sofia International Film Festival,2015,Audience Award 'Silver Sea-Gull',Won,de
Gus Van Sant,Cannes Film Festival,2015,Palme d'Or,Nominated,en
Spike Lee,Image Awards,2015,President's Award,Won,en
Spike Lee,New York Emmy Awards,2015,New York Emmy,Won,en
Spike Lee,Satellite Awards,2015,Humanitarian Award,Won,en
Lasse Hallstrรถm,Winnipeg Real to Reel Film Festival,2015,Grand Jury Prize,2nd place,en
Lawrence Kasdan,"Screenwriters Choice Awards, Online",2015,Screenplay Competition,Nominated,en
Bennett Miller,"Academy Awards, USA",2015,Oscar,Nominated,en
Bennett Miller,Film Independent Spirit Awards,2015,Special Distinction Award,Won,en
Bennett Miller,Italian Online Movie Awards (IOMA),2015,IOMA,Nominated,en
Bennett Miller,Online Film & Television Association,2015,OFTA Film Award,Nominated,en
Bennett Miller,PGA Awards,2015,PGA Award,Nominated,en
Bennett Miller,Santa Barbara International Film Festival,2015,Outstanding Director of the Year Award,Won,en
Paul Verhoeven,Key West Film Festival,2015,Golden Key,Won,de
Mathieu Kassovitz,"Lumiere Awards, France",2015,Lumiere Award,Nominated,en
Wes Anderson,"Academy Awards, USA",2015,Oscar,Nominated,en
Wes Anderson,"Golden Globes, USA",2015,Golden Globe,Nominated,en
Wes Anderson,BAFTA Awards,2015,BAFTA Film Award,Won,en
Wes Anderson,BAFTA Awards,2015,David Lean Award for Direction,Nominated,en
Wes Anderson,BAFTA Awards,2015,BAFTA Film Award,Nominated,en
Wes Anderson,AACTA International Awards,2015,AACTA International Award,Nominated,en
Wes Anderson,"Academy of Science Fiction, Fantasy & Horror Films, USA",2015,Saturn Award,Nominated,en
Wes Anderson,Alliance of Women Film Journalists,2015,EDA Award,Nominated,en
Wes Anderson,Broadcast Film Critics Association Awards,2015,Critics Choice Award,Nominated,en
Wes Anderson,Central Ohio Film Critics Association,2015,COFCA Award,2nd place,en
Wes Anderson,Chlotrudis Awards,2015,Chlotrudis Award,Won,en
Wes Anderson,"Cinema Bloggers Awards, Portugal",2015,Cinema Bloggers Award,Nominated,en
Wes Anderson,Cinema Brazil Grand Prize,2015,Cinema Brazil Grand Prize,Nominated,en
Wes Anderson,Crรญticos de Cinema Online Portugueses Awards,2015,CCOP,Won,en
Wes Anderson,Crรญticos de Cinema Online Portugueses Awards,2015,CCOP,Nominated,en
Wes Anderson,"Cรฉsar Awards, France",2015,Cรฉsar,Nominated,en
Wes Anderson,Denver Film Critics Society,2015,DFCS Award,Nominated,en
Wes Anderson,"Directors Guild of America, USA",2015,DGA Award,Nominated,en
Wes Anderson,Gay and Lesbian Entertainment Critics Association (GALECA),2015,Dorian Award,Nominated,en
Wes Anderson,Georgia Film Critics Association (GFCA),2015,GFCA Award,Nominated,en
Wes Anderson,Gold Derby Awards,2015,Gold Derby Award,Won,en
Wes Anderson,Gold Derby Awards,2015,Gold Derby Award,Nominated,en
Wes Anderson,Houston Film Critics Society Awards,2015,HFCS Award,Nominated,en
Wes Anderson,International Cinephile Society Awards,2015,ICS Award,2nd place,en
Wes Anderson,International Online Cinema Awards (INOCA),2015,INOCA,Won,en
Wes Anderson,International Online Film Critics' Poll,2015,IOFCP Award,Nominated,en
Wes Anderson,Italian Online Movie Awards (IOMA),2015,IOMA,Won,en
Wes Anderson,Italian Online Movie Awards (IOMA),2015,IOMA,Nominated,en
Wes Anderson,London Critics Circle Film Awards,2015,ALFS Award,Won,en
Wes Anderson,London Critics Circle Film Awards,2015,ALFS Award,Nominated,en
Wes Anderson,"National Society of Film Critics Awards, USA",2015,NSFC Award,Won,en
Wes Anderson,North Carolina Film Critics Association,2015,NCFCA Award,Won,en
Wes Anderson,North Carolina Film Critics Association,2015,NCFCA Award,Nominated,en
Wes Anderson,Oklahoma Film Critics Circle Awards,2015,OFCC Award,Won,en
Wes Anderson,Online Film & Television Association,2015,OFTA Film Award,Nominated,en
Wes Anderson,PGA Awards,2015,PGA Award,Nominated,en
Wes Anderson,Robert Festival,2015,Robert,Nominated,en
Wes Anderson,Sant Jordi Awards,2015,Rosa de Sant Jordi Audience Award,Won,en
Wes Anderson,Seattle Film Critics Awards,2015,Seattle Film Critics Award,Won,en
Wes Anderson,Seattle Film Critics Awards,2015,Seattle Film Critics Award,Nominated,en
Wes Anderson,Vancouver Film Critics Circle,2015,VFCC Award,Won,en
Wes Anderson,Vancouver Film Critics Circle,2015,VFCC Award,Nominated,en
Wes Anderson,"Writers Guild of America, USA",2015,WGA Award (Screen),Won,en
Roland Emmerich,GLAAD Media Awards,2015,Stephen F. Kolzak Award,Won,en
Ron Howard,Broadcast Film Critics Association Awards,2015,Critics' Choice Louis XIII Genius Award,Won,en
Ron Howard,Heartland Film,2015,Truly Moving Picture Award,Won,en
Ron Howard,Walk of Fame,2015,Star on the Walk of Fame,Won,en
Darren Aronofsky,"Motion Picture Sound Editors, USA",2015,Filmmaker's Award,Won,en
Darren Aronofsky,Odessa International Film Festival,2015,Golden Duke,Won,en
Darren Aronofsky,Yoga Awards,2015,Yoga Award,Won,en
John Singleton,African-American Film Critics Association (AAFCA),2015,Special Achievement Award,Won,en
Spike Jonze,Bodil Awards,2015,Bodil,Nominated,en
Spike Jonze,"Cinema Bloggers Awards, Portugal",2015,Cinema Bloggers Award,Nominated,en
Spike Jonze,CinEuphoria Awards,2015,CinEuphoria,Won,en
Spike Jonze,CinEuphoria Awards,2015,CinEuphoria,Nominated,en
Spike Jonze,Crรญticos de Cinema Online Portugueses Awards,2015,CCOP,Won,en
Spike Jonze,Crรญticos de Cinema Online Portugueses Awards,2015,CCOP,Nominated,en
Spike Jonze,Grammy Awards,2015,Grammy,Nominated,en
Spike Jonze,International Online Film Critics' Poll,2015,IOFCP Award,Won,en
Spike Jonze,Sant Jordi Awards,2015,Sant Jordi,Won,en
Agnรจs Varda,Cannes Film Festival,2015,Honorary Golden Palm,Won,fr
Agnรจs Varda,"Cinema Eye Honors Awards, US",2015,Cinema Eye Honors Award,Won,fr
Werner Herzog,Behind the Voice Actors Awards,2015,BTVA Anime Dub Movies/Special Voice Acting Award,Nominated,en
Werner Herzog,Berlin International Film Festival,2015,Golden Berlin Bear,Nominated,en
Werner Herzog,"Cinema Eye Honors Awards, US",2015,Cinema Eye Honors Award,Won,en
Werner Herzog,Lima Latin American Film Festival,2015,Lifetime Achievement Award,Won,en
Roger Michell,BAFTA Awards,2015,BAFTA TV Award,Won,en
Stรฉphane Brizรฉ,Brussels European Film Festival,2015,Audience Award,Won,fr
Stรฉphane Brizรฉ,Cannes Film Festival,2015,Prize of the Ecumenical Jury - Special Mention,Won,fr
Stรฉphane Brizรฉ,Cannes Film Festival,2015,Palme d'Or,Nominated,fr
Stรฉphane Brizรฉ,Denver International Film Festival,2015,Krzysztof Kieslowski Award,Nominated,fr
